"","plant_id","transition","size_t0","size_t1","leaf_length_t0","leaf_length_t1","leaf_width_t0","leaf_width_t1","no_fl","fl_stem_height","fl_infl_height","SL","surv","years","site","pr_fl"
"64",105,1,4,3,110,4.2,7,0.3,0,NA,NA,0,1,"2018 - 2019","Halle",0
"65",92,1,5,NA,110,NA,7,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"66",94,1,4,4,125,8.7,7,0.7,0,NA,NA,2,1,"2018 - 2019","Halle",0
"67",95,1,3,NA,70,NA,3,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"68",96,1,4,NA,104,NA,8,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"69",97,1,6,4,140,10.6,10,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"70",98,1,4,3,111,8.5,40,0.2,0,NA,NA,2,1,"2018 - 2019","Halle",0
"71",100,1,4,NA,91,NA,5,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"72",104,1,3,NA,82,NA,3,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"73",114,1,3,1,90,1.6,3,0.2,0,NA,NA,2,1,"2018 - 2019","Halle",0
"74",78,1,4,5,130,15.8,10,0.9,0,NA,NA,2,1,"2018 - 2019","Halle",0
"75",80,1,4,2,80,4.4,6,0.5,0,NA,NA,2,1,"2018 - 2019","Halle",0
"76",81,1,7,13,138,9.7,7,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"77",82,1,3,4,132,13.5,7,1.3,0,NA,NA,2,1,"2018 - 2019","Halle",0
"78",88,1,3,4,160,15.3,8,0.7,0,NA,NA,2,1,"2018 - 2019","Halle",0
"79",89,1,5,NA,152,NA,12,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"80",90,1,5,3,120,10.3,7,0.5,0,NA,NA,2,1,"2018 - 2019","Halle",0
"81",91,1,4,NA,130,NA,6,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"82",92,1,4,NA,95,NA,7,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"83",102,1,50,NA,115,NA,11,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"84",99,1,30,3,70,11.5,5,0.3,0,NA,NA,2,1,"2018 - 2019","Halle",0
"85",99,1,30,3,110,11.5,4,0.3,0,NA,NA,2,1,"2018 - 2019","Halle",0
"86",101,1,30,NA,98,NA,5,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"87",53,1,4,NA,90,NA,6,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"88",54,1,3,NA,100,NA,3,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"89",55,1,5,4,98,7,5,0.4,0,NA,NA,2,1,"2018 - 2019","Halle",0
